пн,13.09.21,"0,20%"
вт,14.09.21,"0,28%"
ср,15.09.21,"0,24%"
чт,16.09.21,"0,21%"
пт,17.09.21,"0,13%"
сб,18.09.21,"0,00%"
вс,19.09.21,"0,00%"
пн,20.09.21,"0,26%"
вт,21.09.21,"0,31%"
ср,22.09.21,"0,23%"
чт,23.09.21,"0,16%"
пт,24.09.21,"0,29%"
сб,25.09.21,"0,00%"
вс,26.09.21,"0,00%"
пн,27.09.21,"0,23%"
вт,28.09.21,"0,18%"
ср,29.09.21,"0,30%"
чт,30.09.21,"0,46%"
пт,01.10.21,"0,33%"
сб,02.10.21,"0,00%"
вс,03.10.21,"0,00%"
пн,04.10.21,"0,15%"
вт,05.10.21,"0,10%"
ср,06.10.21,"0,23%"
чт,07.10.21,"-0,37%"
пт,08.10.21,"0,18%"
сб,09.10.21,"0,00%"
вс,10.10.21,"0,00%"
пн,11.10.21,"0,14%"
вт,12.10.21,"0,10%"
ср,13.10.21,"0,12%"
чт,14.10.21,"0,11%"
пт,15.10.21,"0,13%"
сб,16.10.21,"0,00%"
вс,17.10.21,"0,00%"
пн,18.10.21,"0,10%"
вт,19.10.21,"0,45%"
ср,20.10.21,"0,15%"
чт,21.10.21,"0,17%"
пт,22.10.21,"0,08%"
сб,23.10.21,"0,00%"
вс,24.10.21,"0,00%"
пн,25.10.21,"0,19%"
вт,26.10.21,"0,12%"
ср,27.10.21,"0,14%"
чт,28.10.21,"0,19%"
пт,29.10.21,"0,17%"
сб,30.10.21,"0,00%"
вс,31.10.21,"0,00%"
пн,01.11.21,"0,16%"
вт,02.11.21,"0,18%"
ср,03.11.21,"0,19%"
чт,04.11.21,"0,13%"
пт,05.11.21,"0,14%"
сб,06.11.21,
вс,07.11.21,
пн,08.11.21,"0,10%"
вт,09.11.21,"0,14%"
ср,10.11.21,"0,15%"
чт,11.11.21,"0,21%"
пт,12.11.21,"0,12%"
сб,13.11.21,
вс,14.11.21,
пн,15.11.21,"0,16%"
вт,16.11.21,"0,14%"
ср,17.11.21,"0,12%"
чт,18.11.21,"0,18%"
пт,19.11.21,"0,14%"
сб,20.11.21,
вс,21.11.21,
пн,22.11.21,"0,13%"
вт,23.11.21,"0,16%"
ср,24.11.21,"0,20%"
чт,25.11.21,"0,13%"
пт,26.11.21,"0,12%"
сб,27.11.21,
вс,28.11.21,
пн,29.11.21,"0,26%"
